age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
13,20,student,single,secondary,0,502,0,0,cellular,30,apr,261,1,-1,0,unknown,1
30,68,retired,divorced,secondary,0,4189,0,0,telephone,14,jul,897,2,-1,0,unknown,1
33,32,management,single,tertiary,0,2536,1,0,cellular,26,aug,958,6,-1,0,unknown,1
34,49,technician,married,tertiary,0,1235,0,0,cellular,13,aug,354,3,-1,0,unknown,1
36,78,retired,divorced,primary,0,229,0,0,telephone,22,oct,97,1,-1,0,unknown,1
37,32,blue-collar,married,secondary,0,2089,1,0,cellular,14,nov,132,1,-1,0,unknown,1
38,33,management,married,secondary,0,3935,1,0,cellular,6,may,765,1,342,2,failure,1
49,61,admin.,married,unknown,0,4629,1,0,cellular,27,jan,181,1,92,1,success,1
50,45,blue-collar,divorced,primary,0,844,0,0,unknown,5,jun,1018,3,-1,0,unknown,1
53,34,technician,married,tertiary,0,1539,1,0,cellular,15,jun,441,1,56,1,other,1
70,37,management,married,tertiary,0,0,0,0,cellular,16,jul,268,2,182,3,success,1
80,27,admin.,divorced,secondary,0,451,1,0,cellular,16,jul,652,1,-1,0,unknown,1
83,52,services,married,secondary,0,657,0,0,telephone,7,jul,398,2,460,2,failure,1
84,37,management,married,tertiary,0,1315,0,0,cellular,30,jun,224,1,-1,0,unknown,1
92,27,services,single,secondary,0,-195,1,0,cellular,18,may,391,1,-1,0,unknown,1
99,31,unemployed,single,primary,0,406,0,0,cellular,4,feb,736,1,-1,0,unknown,1
108,56,unemployed,married,primary,0,3391,0,0,cellular,21,apr,243,1,-1,0,unknown,1
110,21,student,single,secondary,0,2488,0,0,cellular,30,jun,258,6,169,3,success,1
114,25,student,single,secondary,0,331,0,0,telephone,26,aug,170,4,-1,0,unknown,1
115,25,technician,single,secondary,0,505,0,1,cellular,17,nov,386,2,-1,0,unknown,1
125,34,self-employed,single,tertiary,0,462,0,0,cellular,21,aug,1877,3,-1,0,unknown,1
129,77,retired,divorced,tertiary,0,4659,0,0,cellular,14,apr,161,1,-1,0,unknown,1
138,52,management,married,tertiary,0,-970,1,0,cellular,4,feb,489,1,-1,0,unknown,1
156,55,admin.,married,secondary,0,602,0,0,cellular,1,jun,324,3,90,2,success,1
164,28,management,single,tertiary,0,80,0,0,cellular,20,oct,676,2,146,2,failure,1
189,56,retired,married,secondary,0,-1206,1,0,cellular,15,jun,382,2,-1,0,unknown,1
199,75,retired,married,secondary,0,3771,0,0,telephone,15,apr,185,1,181,2,success,1
