iterations,fitness,time,fevals
0,23.0,0.162688049,1000
10,29.0,0.291202094,2100
20,35.0,0.429305306,3200
30,34.0,0.574777366,4300
40,33.0,0.702769373,5400
50,37.0,0.828421682,6500
60,39.0,0.974552648,7600
70,37.0,1.101647575,8700
80,42.0,1.248795851,9800
90,37.0,1.384750159,10900
100,36.0,1.511880339,12000
110,36.0,1.619456718,13100
120,36.0,1.750759452,14200
130,38.0,1.892253435,15300
140,37.0,2.026971838,16400
150,39.0,2.148479539,17500
160,47.0,2.286561354,18600
170,38.0,2.409116017,19700
180,39.0,2.525236111,20800
190,49.0,2.641951147,21900
200,47.0,2.756189513,23000
210,48.0,2.889309667,24100
220,50.0,3.012905326,25200
230,49.0,3.165006547,26300
240,51.0,3.288263568,27400
250,49.0,3.413950081,28500
260,49.0,3.544324913,29600
270,49.0,3.679725076,30700
280,52.0,3.810618444,31800
290,50.0,3.937244129,32900
300,50.0,4.044344375,34000
310,49.0,4.168928627,35100
320,50.0,4.288520355,36200
330,49.0,4.432018357,37300
340,49.0,4.537168929,38400
350,50.0,4.667390676,39500
360,49.0,4.806883904,40600
370,50.0,4.930937553,41700
380,50.0,5.061469522,42800
390,50.0,5.17270167,43900
400,49.0,5.316069946,45000
410,50.0,5.43049191,46100
420,51.0,5.545959849,47200
430,50.0,5.673046739,48300
440,49.0,5.795400661,49400
450,51.0,5.917965099,50500
460,53.0,6.032382243,51600
470,50.0,6.169246409,52700
480,52.0,6.28247803,53800
490,51.0,6.415182384,54900
500,51.0,6.523329855,56000
510,52.0,6.644140243,57100
520,51.0,6.755727707,58200
530,51.0,6.868091733,59300
540,52.0,6.991584121,60400
550,51.0,7.12092028,61500
560,54.0,7.290842866,62600
570,51.0,7.399038764,63700
580,51.0,7.522290322,64800
590,51.0,7.622008655,65900
600,53.0,7.741186993,67000
610,51.0,7.856747682,68100
620,52.0,7.9786868,69200
630,51.0,8.100317312,70300
640,50.0,8.222122043,71400
650,52.0,8.33612441,72500
660,51.0,8.454321328,73600
670,51.0,8.547902047,74700
680,52.0,8.667987348,75800
690,52.0,8.777653673,76900
700,52.0,8.913113192,78000
710,51.0,9.023196102,79100
720,51.0,9.158639584,80200
730,52.0,9.276012659,81300
740,52.0,9.382899534,82400
750,51.0,9.504974491,83500
760,52.0,9.621778074,84600
770,50.0,9.75865905,85700
780,51.0,9.87120707,86800
790,54.0,9.980941707,87900
800,51.0,10.105088472,89000
810,53.0,10.214380469,90100
820,51.0,10.326683813,91200
830,51.0,10.449093282,92300
840,52.0,10.556020886,93400
850,51.0,10.674121742,94500
860,51.0,10.813555984,95600
870,51.0,10.940463301,96700
880,51.0,11.063187747,97800
890,51.0,11.178212459,98900
900,52.0,11.383691217,100000
910,51.0,11.496874406,101100
920,51.0,11.613815861,102200
930,51.0,11.738304891,103300
940,52.0,11.866838381,104400
950,51.0,11.973181942,105500
960,51.0,12.105016924,106600
970,52.0,12.217668718,107700
980,52.0,12.352523118,108800
990,52.0,12.463590561,109900
1000,50.0,12.576200158,111000
1010,51.0,12.723063792,112100
1020,52.0,12.854611437,113200
1030,51.0,12.993467272,114300
1040,52.0,13.096523015,115400
1050,51.0,13.206850252,116500
1060,52.0,13.387613593,117600
1070,51.0,13.536916514,118700
1080,52.0,13.656309401,119800
1090,50.0,13.770348865,120900
1100,51.0,13.88578848,122000
1110,51.0,13.988312804,123100
1120,52.0,14.148136539,124200
1130,52.0,14.27416297,125300
1140,51.0,14.384188486,126400
1150,50.0,14.50346927,127500
1160,52.0,14.645561745,128600
1170,51.0,14.779069196,129700
1180,54.0,14.90208112,130800
1190,52.0,15.05484456,131900
1200,50.0,15.187795638,133000
1210,51.0,15.325320253,134100
1220,51.0,15.442608717,135200
1230,52.0,15.573888438,136300
1240,51.0,15.70772686,137400
1250,51.0,15.830151145,138500
1260,51.0,16.060846654,139600
1270,52.0,16.209440607,140700
1280,52.0,16.367762436,141800
1290,52.0,16.501404594,142900
1300,51.0,16.627997031,144000
1310,52.0,16.801552254,145100
1320,50.0,16.911617674,146200
1330,51.0,17.042562138,147300
1340,51.0,17.164346702,148400
1350,50.0,17.28463152,149500
1360,52.0,17.395808435,150600
1370,51.0,17.532708911,151700
1380,52.0,17.656862438,152800
1390,52.0,17.769226963,153900
1400,52.0,17.916177965,155000
1410,53.0,18.052577222,156100
1420,53.0,18.177774974,157200
1430,54.0,18.291986397,158300
1440,53.0,18.422539436,159400
1450,54.0,18.55103981,160500
1460,53.0,18.690081617,161600
1470,52.0,18.825428105,162700
1480,53.0,18.947379074,163800
1490,53.0,19.081442789,164900
1500,53.0,19.20232949,166000
1510,54.0,19.337781077,167100
1520,53.0,19.476028373,168200
1530,54.0,19.598185,169300
1540,53.0,19.725017881,170400
1550,55.0,19.861009534,171500
1560,53.0,19.973234021,172600
1570,54.0,20.090227231,173700
1580,53.0,20.2238503,174800
1590,54.0,20.376483949,175900
1600,54.0,20.497587448,177000
1610,54.0,20.640728281,178100
1620,52.0,20.754156057,179200
1630,53.0,20.877072949,180300
1640,53.0,20.994443946,181400
1650,53.0,21.126893008,182500
1660,54.0,21.273737722,183600
1670,53.0,21.386426851,184700
1680,53.0,21.520564279,185800
1690,53.0,21.647787838,186900
1700,54.0,21.802727847,188000
1710,53.0,21.935373879,189100
1720,52.0,22.054262321,190200
1730,52.0,22.163848735,191300
1740,53.0,22.295297174,192400
1750,53.0,22.414284191,193500
1760,54.0,22.556961945,194600
1770,53.0,22.673305184,195700
1780,53.0,22.802338573,196800
1790,54.0,22.919567138,197900
1800,54.0,23.060370996,199000
1810,53.0,23.205005961,200100
1820,54.0,23.312529029,201200
1830,54.0,23.4452042,202300
1840,54.0,23.583317124,203400
1850,53.0,23.708668245,204500
1860,53.0,23.836283204,205600
1870,54.0,23.955045351,206700
1880,54.0,24.077237108,207800
1890,53.0,24.212265856,208900
1900,53.0,24.337258086,210000
1910,53.0,24.439553906,211100
1920,53.0,24.570618696,212200
1930,53.0,24.696519017,213300
1940,54.0,24.810664497,214400
1950,54.0,24.923155442,215500
1960,53.0,25.033714057,216600
1970,54.0,25.157494727,217700
1980,54.0,25.246287281,218800
1990,54.0,25.358056333,219900
2000,53.0,25.463222845,221000
2010,54.0,25.597071668,222100
2020,54.0,25.734808661,223200
2030,54.0,25.85847844,224300
2040,53.0,25.970654634,225400
2050,53.0,26.112537387,226500
2060,54.0,26.230361324,227600
2070,52.0,26.362697171,228700
2080,53.0,26.476210415,229800
2090,54.0,26.589843842,230900
2100,54.0,26.707477619,232000
2110,53.0,26.826657485,233100
2120,53.0,26.969936171,234200
2130,54.0,27.099596321,235300
2140,53.0,27.244999246,236400
2150,54.0,27.373825831,237500
2160,55.0,27.48544166,238600
2170,55.0,27.607199825,239700
2180,53.0,27.730637188,240800
2190,54.0,27.863019433,241900
2200,53.0,28.013280629,243000
2210,54.0,28.145071336,244100
2220,52.0,28.257685028,245200
2230,54.0,28.381645605,246300
2240,52.0,28.487219734,247400
2250,54.0,28.629944428,248500
2260,53.0,28.761916497,249600
2270,54.0,28.885394943,250700
2280,54.0,29.026734462,251800
2290,53.0,29.150887682,252900
2300,54.0,29.272135657,254000
2310,54.0,29.395171984,255100
2320,53.0,29.53051003,256200
2330,54.0,29.641372141,257300
2340,53.0,29.750201826,258400
2350,53.0,29.877897786,259500
2360,53.0,30.008848486,260600
2370,52.0,30.13303302,261700
2380,53.0,30.247166951,262800
2390,52.0,30.365799785,263900
2400,52.0,30.482917239,265000
2410,54.0,30.625923539,266100
2420,54.0,30.749658544,267200
2430,55.0,30.876693752,268300
2440,54.0,31.009360213,269400
2450,54.0,31.144369004,270500
2460,55.0,31.275368021,271600
2470,55.0,31.381805161,272700
2480,55.0,31.523335702,273800
2490,54.0,31.631278741,274900
2500,54.0,31.746347583,276000
2510,55.0,31.871031024,277100
2520,55.0,31.999951238,278200
2530,55.0,32.110441647,279300
2540,55.0,32.238489769,280400
2550,55.0,32.349949148,281500
2560,54.0,32.461174092,282600
2570,54.0,32.587278499,283700
2580,54.0,32.710211509,284800
2590,55.0,32.817218724,285900
2600,55.0,32.950087598,287000
2610,54.0,33.080026507,288100
2620,55.0,33.212121416,289200
2630,55.0,33.324078181,290300
2640,54.0,33.448864619,291400
2650,55.0,33.574623036,292500
2660,55.0,33.697347653,293600
2670,55.0,33.819433396,294700
2680,55.0,33.946424286,295800
2690,56.0,34.056768191,296900
2700,55.0,34.182145061,298000
2710,56.0,34.31009807,299100
2720,55.0,34.440173912,300200
2730,55.0,34.553957487,301300
2740,55.0,34.661784759,302400
2750,55.0,34.785652439,303500
2760,55.0,34.913909097,304600
2770,54.0,35.032566216,305700
2780,54.0,35.15390169,306800
2790,54.0,35.275882209,307900
2800,54.0,35.401081384,309000
2810,55.0,35.538407448,310100
2820,54.0,35.652638912,311200
2830,55.0,35.774050182,312300
2840,55.0,35.895435694,313400
2850,55.0,36.020952708,314500
2860,54.0,36.128690396,315600
2870,56.0,36.249787632,316700
2880,55.0,36.364944657,317800
2890,55.0,36.49514793,318900
2900,55.0,36.628038097,320000
2910,55.0,36.740102696,321100
2920,55.0,36.855709816,322200
2930,55.0,36.970512728,323300
2940,54.0,37.117451539,324400
2950,55.0,37.249349432,325500
2960,55.0,37.362744253,326600
2970,55.0,37.493280424,327700
2980,55.0,37.608676976,328800
2990,55.0,37.726037244,329900
3000,55.0,37.847447172,331000
3010,55.0,37.977887745,332100
3020,55.0,38.111609038,333200
3030,55.0,38.263052199,334300
3040,55.0,38.392050117,335400
3050,54.0,38.510914918,336500
3060,55.0,38.634853065,337600
3070,54.0,38.795330221,338700
3080,55.0,38.896770403,339800
3090,55.0,39.029909129,340900
3100,55.0,39.166941314,342000
3110,55.0,39.290205554,343100
3120,55.0,39.411949374,344200
3130,54.0,39.516838151,345300
3140,54.0,39.623846594,346400
3150,55.0,39.730008605,347500
3160,55.0,39.87744524,348600
3170,55.0,39.996730457,349700
3180,55.0,40.115888007,350800
3190,54.0,40.24915422,351900
3200,55.0,40.363418502,353000
3210,55.0,40.478104579,354100
3220,55.0,40.598375535,355200
3230,54.0,40.737739526,356300
3240,54.0,40.858445293,357400
3250,54.0,40.992584711,358500
3260,54.0,41.10943158,359600
3270,55.0,41.229716051,360700
3280,55.0,41.373206887,361800
3290,55.0,41.50057504,362900
3300,55.0,41.621816107,364000
3310,55.0,41.7464046,365100
3320,54.0,41.869511556,366200
3330,55.0,42.024850045,367300
3340,55.0,42.183961222,368400
3350,54.0,42.309171926,369500
3360,54.0,42.420616029,370600
3370,55.0,42.538409991,371700
3380,55.0,42.6612679,372800
3390,55.0,42.789213072,373900
3400,55.0,42.926749172,375000
3410,55.0,43.05254999,376100
3420,55.0,43.186445925,377200
3430,56.0,43.328276379,378300
3440,56.0,43.47480317,379400
3450,56.0,43.603245544,380500
3460,55.0,43.729949356,381600
3470,56.0,43.855053165,382700
3480,56.0,43.993967711,383800
3490,56.0,44.121223002,384900
3500,56.0,44.238368353,386000
3510,56.0,44.384945338,387100
3520,56.0,44.518331716,388200
3530,56.0,44.639036855,389300
3540,56.0,44.767297388,390400
3550,56.0,44.904960499,391500
3560,56.0,45.044486034,392600
3570,56.0,45.144277192,393700
3580,56.0,45.280156764,394800
3590,56.0,45.408941962,395900
3600,56.0,45.555491359,397000
3610,56.0,45.699638216,398100
3620,56.0,45.820648981,399200
3630,56.0,45.968825437,400300
3640,55.0,46.107774179,401400
3650,56.0,46.264566547,402500
3660,55.0,46.396595193,403600
3670,55.0,46.545330316,404700
3680,56.0,46.658775992,405800
3690,56.0,46.78018426,406900
3700,55.0,46.900514886,408000
3710,56.0,47.032834125,409100
3720,56.0,47.157276449,410200
3730,57.0,47.283212944,411300
3740,56.0,47.407519265,412400
3750,56.0,47.547087547,413500
3760,57.0,47.67596708,414600
3770,58.0,47.815377974,415700
3780,57.0,47.931604723,416800
3790,57.0,48.06037113,417900
3800,57.0,48.196394924,419000
3810,57.0,48.310910136,420100
3820,57.0,48.433772615,421200
3830,57.0,48.569430593,422300
3840,57.0,48.690376323,423400
3850,57.0,48.798737829,424500
