iterations,fitness,time,fevals
0,20.0,1.21169999971e-05,11
10,20.0,7.61749999967e-05,21
20,20.0,8.46519999982e-05,31
30,20.0,9.27940000039e-05,41
40,24.0,9.98410000008e-05,51
50,24.0,0.000106832000007,61
60,24.0,0.000114888000013,71
70,24.0,0.000123208000012,81
80,24.0,0.000128710000013,91
90,24.0,0.000135029000013,101
100,24.0,0.000140961000007,111
110,24.0,0.000212502000004,121
120,24.0,0.000220101000004,131
130,24.0,0.000228127,141
140,24.0,0.000235564,151
150,27.0,0.00024423,161
160,27.0,0.000251249000002,171
170,27.0,0.000259143999997,181
180,27.0,0.000268734999999,191
190,27.0,0.00027721,201
200,27.0,0.000284459000007,211
210,27.0,0.000292360000003,221
220,28.0,0.000300711000001,231
230,28.0,0.000309576999996,241
240,28.0,0.000321009999993,251
250,28.0,0.000329958999991,261
260,29.0,0.000337167999994,271
270,29.0,0.000343578999995,281
280,35.0,0.000351282999993,291
290,35.0,0.000357961999988,301
300,35.0,0.000365620999986,311
310,35.0,0.000373608999979,321
320,36.0,0.00038062399998,331
330,36.0,0.00038756999998,341
340,36.0,0.000395902999983,351
350,36.0,0.00040427499998,361
360,38.0,0.000411197999973,371
370,38.0,0.000420082999973,381
380,38.0,0.000426676999972,391
390,38.0,0.000432914999969,401
400,38.0,0.000441099999968,411
410,38.0,0.000447406999967,421
420,38.0,0.000453914999966,431
430,38.0,0.000460057999966,441
440,38.0,0.000466065999966,451
450,38.0,0.000473670999966,461
460,39.0,0.000479653999967,471
470,39.0,0.000485493999967,481
480,39.0,0.000491202999967,491
490,39.0,0.000497626999966,501
500,39.0,0.000503710999965,511
510,39.0,0.000508988999968,521
520,39.0,0.000514967999969,531
530,39.0,0.000521195999973,541
540,40.0,0.000527252999973,551
550,40.0,0.000533260999973,561
560,44.0,0.000539445999976,571
570,44.0,0.000546081999971,581
580,44.0,0.000553757999974,591
590,45.0,0.000560000999975,601
600,45.0,0.000567311999973,611
610,45.0,0.000573285999977,621
620,46.0,0.000580176999975,631
630,46.0,0.000586713999979,641
640,46.0,0.000597214999978,651
650,46.0,0.000603562999977,661
660,47.0,0.000609843999982,671
670,47.0,0.000616371999982,681
680,48.0,0.000622568999987,691
