iterations,fitness,time,fevals
0,557.0,19.092188513,1000
10,593.0,37.566456436,2100
20,631.0,55.268814283,3200
30,665.0,72.673365825,4300
40,689.0,87.998709135,5400
50,723.0,101.770233445,6500
60,727.0,117.161983843,7600
70,741.0,131.741585859,8700
80,743.0,145.417921645,9800
90,747.0,158.77771947,10900
100,751.0,172.449900893,12000
110,751.0,185.992274898,13100
120,749.0,199.36010891,14200
130,757.0,212.76159864,15300
140,751.0,226.273805885,16400
150,749.0,239.71343249,17500
160,751.0,252.9932595,18600
170,753.0,267.251858033,19700
180,753.0,280.708145063,20800
190,755.0,294.224086225,21900
200,755.0,307.509519992,23000
210,753.0,320.651795945,24100
220,755.0,334.141569724,25200
230,759.0,347.658636275,26300
240,757.0,361.261595074,27400
250,757.0,374.700651263,28500
260,755.0,387.874221762,29600
270,757.0,401.176885147,30700
280,753.0,415.205959968,31800
290,757.0,429.08500835,32900
300,755.0,442.461553268,34000
310,755.0,455.452160576,35100
320,755.0,467.964675863,36200
330,755.0,481.382452948,37300
340,755.0,494.724998877,38400
350,757.0,508.382227533,39500
360,755.0,522.083226941,40600
370,755.0,535.370641526,41700
380,755.0,548.804726188,42800
390,754.0,561.779429936,43900
400,753.0,575.049991006,45000
410,755.0,588.614183331,46100
420,759.0,602.086747969,47200
430,757.0,615.736699496,48300
440,755.0,628.991066135,49400
450,757.0,642.666834124,50500
460,757.0,656.432325756,51600
470,753.0,670.163201071,52700
480,751.0,683.64156392,53800
490,753.0,697.397793008,54900
500,757.0,710.811692617,56000
510,755.0,724.398998274,57100
520,755.0,737.448298922,58200
530,753.0,750.982598777,59300
540,759.0,764.87482217,60400
550,757.0,778.683875125,61500
560,757.0,791.817024975,62600
570,757.0,805.209510565,63700
580,755.0,818.540916073,64800
590,755.0,831.712709056,65900
600,757.0,844.853775399,67000
610,755.0,858.123463728,68100
620,757.0,871.271940122,69200
630,757.0,884.550650498,70300
640,765.0,897.948551682,71400
650,757.0,911.442350613,72500
660,755.0,924.733444145,73600
670,755.0,938.656223036,74700
680,761.0,951.354302746,75800
690,755.0,963.680092885,76900
700,757.0,976.171531732,78000
710,759.0,988.999437712,79100
720,761.0,1000.20093797,80200
730,759.0,1011.95185891,81300
740,763.0,1024.26751737,82400
750,765.0,1036.41861685,83500
760,765.0,1048.99413151,84600
770,767.0,1061.8565818,85700
780,763.0,1076.69479273,86800
790,762.0,1092.52841252,87900
800,763.0,1105.65229953,89000
810,765.0,1117.59848763,90100
820,765.0,1129.82537697,91200
830,765.0,1142.05125549,92300
840,763.0,1154.10627697,93400
850,767.0,1166.68702452,94500
860,767.0,1179.27634915,95600
870,769.0,1191.39407395,96700
880,765.0,1205.27033985,97800
890,767.0,1217.80166174,98900
900,769.0,1229.97356807,100000
910,767.0,1242.44525674,101100
920,771.0,1254.62070091,102200
930,767.0,1266.9865373,103300
940,767.0,1279.07917977,104400
950,769.0,1292.4114494,105500
960,771.0,1304.99554038,106600
970,771.0,1317.11444785,107700
980,773.0,1329.63753705,108800
990,775.0,1341.84743364,109900
