iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.132828842663,0.140434231532,0.134860980937,0.506006006006,0.497005988024,0.516746411483,0.668012108981,0.664,0.675241157556,0.00795536
10,0.00431651022785,0.00501320318479,0.00447033781684,0.996996996997,0.988023952096,1.0,0.997005988024,0.988095238095,1.0,0.026673556
20,6.10097374869e-85,3.8371206721e-81,3.79024606395e-86,1.0,1.0,1.0,1.0,1.0,1.0,0.033570311
30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.072613916
40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.079863245
50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.086012
60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.095798702
70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.128879751
80,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.135421186
90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.142117092
100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.148278753
110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.153969095
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15920272
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.164710013
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.169906256
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.175016153
160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.180229269
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.187825595
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.193732797
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.198987477
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.204124483
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.208784416
220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.213786498
230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.219282816
240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.224221487
250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.229313637
260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.233947682
270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.237700603
280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.242669852
290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.247154155
300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.251933409
310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.256905233
320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.261480999
330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266361654
340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.276033055
350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.280435956
360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.285215252
370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.290061986
380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.295504883
390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.300061742
400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.304369148
410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.308667498
420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.313553838
430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.318018205
440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32247237
450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.327033414
460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.331506995
470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.335947282
480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.340360837
490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.344665517
500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.349139268
510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.353714058
520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.358482243
530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363059701
540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.367439581
550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.372366341
560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.376889746
570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.381136911
580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.385815445
590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.390183381
600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.394703301
610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.398490585
620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.403209294
630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.407977292
640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41241493
650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.416827939
660,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.421262719
670,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425832798
680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.430626846
690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.435386342
700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.439790555
710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.444239808
720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.448515853
730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.452998012
740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.457473387
750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.462099815
760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466927278
770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.471401165
780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.475974106
790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.480399346
800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.485444339
810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.490204725
820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.494428108
830,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.499110885
840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.503627331
850,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.508398439
860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.512961219
