iterations,fitness,time,fevals
0,0.0240205520256,4.180953526,1000
10,0.0244379609886,7.995354992,2100
20,0.0228262183418,12.625616894,3200
30,0.022760855016,17.182160247,4300
40,0.0236117244283,21.276994299,5400
50,0.0233623455949,26.410614111,6500
60,0.0242520029556,31.20333306,7600
70,0.0243491914948,36.17255184,8700
80,0.0230252336022,41.179027639,9800
90,0.0232471600724,46.44392564,10900
100,0.0248390496972,51.762472241,12000
110,0.0228030290987,56.892818988,13100
120,0.0238906252789,61.043298398,14200
130,0.0244702269009,65.258521556,15300
140,0.0246826807678,69.617330783,16400
150,0.0236504656471,73.582519729,17500
160,0.0236826954028,78.082655391,18600
170,0.0236098653856,82.562182092,19700
180,0.0233149864375,86.684645617,20800
190,0.023215073898,90.975390574,21900
200,0.0247863800504,95.328556572,23000
210,0.0227998013732,100.01305751,24100
220,0.0235376226428,104.429140564,25200
230,0.0239105856961,108.69040204,26300
240,0.0244245304582,113.943398158,27400
250,0.0237511740196,119.353223352,28500
260,0.0245603491403,124.8121646,29600
270,0.0231912206773,130.127837726,30700
280,0.0239036780587,136.328084566,31800
290,0.0233551580289,141.66865869,32900
300,0.0247997141452,146.895132489,34000
310,0.0243517564178,152.822555338,35100
320,0.0235453906455,157.381939745,36200
330,0.0235528749066,161.769240455,37300
340,0.0230488893174,166.255277608,38400
350,0.0229285241488,171.04815628,39500
360,0.0245709318473,175.52270566,40600
370,0.0236830136601,180.271384503,41700
380,0.0237984072983,184.674871782,42800
390,0.0234228113011,189.524609225,43900
400,0.0236544651578,193.407229669,45000
410,0.0234184399769,197.61437377,46100
420,0.0237059659743,202.073712791,47200
430,0.0236373255764,208.313894282,48300
440,0.0233555923786,212.501109058,49400
450,0.0242604261329,216.239306392,50500
460,0.0235336742538,220.107281831,51600
470,0.0248149247726,225.079781734,52700
480,0.0256995679865,229.103748333,53800
490,0.0235326695694,233.235248112,54900
500,0.0234834584898,237.52261412,56000
510,0.0236302142358,241.498759588,57100
520,0.0234471696121,245.204380419,58200
530,0.0235298701406,249.019500323,59300
540,0.0238216751075,252.966280216,60400
550,0.022956238689,256.987173074,61500
560,0.0245409941521,260.386914714,62600
570,0.0247694556041,264.574363207,63700
580,0.022676000068,268.455038981,64800
590,0.0236419567917,273.266816213,65900
600,0.0234669267424,277.722586081,67000
610,0.0239339187324,282.57856375,68100
620,0.0264993256131,286.54174435,69200
630,0.023679330293,290.438255409,70300
640,0.0235608307101,294.138433443,71400
650,0.0240981404762,297.740570187,72500
660,0.02307096779,301.390958805,73600
670,0.0245131410723,305.320940187,74700
680,0.0240664894959,308.84973685,75800
690,0.0241630015528,312.544340603,76900
700,0.0239861454373,316.221735976,78000
710,0.0241401193801,319.933962402,79100
720,0.0241203255162,323.509486049,80200
730,0.0238034396953,327.178281056,81300
740,0.0238885114863,330.894505183,82400
750,0.0242962816041,334.92214171,83500
760,0.0234862372179,338.574057132,84600
770,0.0239635474796,342.270963418,85700
780,0.0238257900384,346.024966616,86800
790,0.0235413943221,349.802146793,87900
800,0.0231496551599,353.461005891,89000
810,0.0227315950263,357.300598653,90100
820,0.0244110103273,360.801202004,91200
830,0.0235482908505,364.640627238,92300
840,0.0237309800366,368.185621601,93400
850,0.0242404004486,371.89592491,94500
860,0.023229323844,375.53728081,95600
870,0.0240586247121,379.478240074,96700
880,0.0237715577609,383.175745841,97800
890,0.0232284981076,386.891854214,98900
900,0.0241129721733,390.644639544,100000
910,0.0242620524188,394.708036419,101100
920,0.0230842958484,398.561728601,102200
930,0.0231542568832,402.314718459,103300
940,0.025185250181,405.944501521,104400
950,0.0245091994288,409.762310132,105500
960,0.0239331475528,413.320597415,106600
970,0.0250558857766,416.992929683,107700
980,0.023765217583,420.784714902,108800
990,0.0235860333269,424.689547218,109900
1000,0.0226169377686,428.314845572,111000
1010,0.0234845351196,432.109791778,112100
1020,0.0233965866122,436.205183332,113200
1030,0.0235447513653,439.774018795,114300
1040,0.0242493387701,443.410475932,115400
1050,0.0249018169643,447.107517479,116500
1060,0.0261756953142,451.263731846,117600
1070,0.0246794079279,454.746823857,118700
1080,0.0249103872674,458.462068174,119800
1090,0.0231630875511,462.272508759,120900
1100,0.0246235745811,466.302301544,122000
1110,0.0236458332105,470.322130678,123100
1120,0.0241231194305,474.33450443,124200
1130,0.0234800566569,478.288292246,125300
1140,0.0237349158232,482.267024881,126400
1150,0.0233229887597,486.23505056,127500
1160,0.0248419368348,490.186611404,128600
1170,0.0243526263373,494.262234978,129700
1180,0.0236814488799,498.198705851,130800
1190,0.0237287390252,501.873244852,131900
1200,0.0232009781483,505.625919751,133000
1210,0.0233071029843,509.503451288,134100
1220,0.0235212132809,513.113738842,135200
1230,0.023278951722,516.883158293,136300
1240,0.0237170220636,520.692194121,137400
